prise,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
950000.0,2,44.1,2,9,1.0,"Днепропетровская ул.,  7к2",,,,,,,,,,,,,,,,
2861600.0,3,83.5,16,23,1.0,"Часовая ул.,  19к3",,,,,,,,,,,,,,,,
2210000.0,1,37.5,9,20,1.0,"пр-т Лихачёва,  12к1",,,,,,,,,,,,,,,,
4450000.0,2,75.0,14,22,1.0,"3-я Хорошёвская ул.,  27к3",,,,,,,,,,,,,,,,
1885000.0,2,60.9,10,29,1.0,"Волгоградский пр-т,  32/5к1",,,,,,,,,,,,,,,,
1500000.0,1,31.7,10,12,1.0,"пр-т Вернадского,  89к1",,,,,,,,,,,,,,,,
4638000.0,3,120.4,11,30,1.0,"Ленинский пр-т,  98к1",,,,,,,,,,,,,,,,
890000.0,2,51.0,9,16,1.0,"Щёлковское ш.,  81",,,,,,,,,,,,,,,,
2110000.0,2,53.3,9,29,1.0,"ул. Ивана Франко,  6",,,,,,,,,,,,,,,,
850000.0,1,34.2,5,16,1.0,"Харьковский пр.,  11к4",,,,,,,,,,,,,,,,
1990000.0,3,74.0,6,17,1.0,"Каширское ш.,  80к1",,,,,,,,,,,,,,,,
1280000.0,2,52.0,6,12,1.0,"ул. Плещеева, 22",,,,,,,,,,,,,,,,
3100000.0,2,69.3,5,6,1.0,"3-я ул. Ямского Поля, 9к4",,,,,,,,,,,,,,,,
1180000.0,3,53.5,4,5,1.0,"Бойцовая ул.,  4/37к4",,,,,,,,,,,,,,,,
1450899.0,3,63.1,6,33,1.0,"Перовское ш.,  2к3",,,,,,,,,,,,,,,,
1239000.0,1,44.0,1,36,1.0,"пр-т 60-летия Октября,  17",,,,,,,,,,,,,,,,
730000.0,1,30.0,2,6,0.0,"ул. Федосьино,  2",,,,,,,,,,,,,,,,
1450000.0,1,35.1,3,12,1.0,"2-я Пугачёвская ул.,  3к1",,,,,,,,,,,,,,,,
590000.0,1,40.6,7,9,1.0,"ул. Недорубова,  12",,,,,,,,,,,,,,,,
3000000.0,3,79.6,8,12,1.0,"ул. Академика Челомея,  10",,,,,,,,,,,,,,,,
2900000.0,3,93.0,17,25,1.0,"Хорошёвское ш.,  40А",,,,,,,,,,,,,,,,
1065000.0,2,45.0,7,9,1.0,"Бескудниковский б-р,  16к2",,,,,,,,,,,,,,,,
