price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
1262200.0,3.0,73.8,15.0,17.0,1.0,"Мячковский б-р,  9","37.756685,55.655884",,,,,,,,,,,,,,,
1485000.0,3.0,62.7,12.0,12.0,1.0,"ул. Лескова,  22","37.609146,55.896337",,,,,,,,,,,,,,,
2010000.0,1.0,42.3,40.0,44.0,1.0,"Ходынская ул.,  2","37.564212,55.770806",,,,,,,,,,,,,,,
392000.0,1.0,18.0,1.0,5.0,0.0,"Новогиреевская ул.,  16к1","37.793229,55.760859",,,,,,,,,,,,,,,
280000.0,1.0,11.0,1.0,5.0,0.0,"Чуксин тупик,  4","37.558302,55.807365",,,,,,,,,,,,,,,
999999.0,1.0,33.8,3.0,12.0,1.0,"Дубнинская ул.,  20к2","37.563898,55.869708",,,,,,,,,,,,,,,
1700000.0,3.0,65.0,1.0,9.0,1.0,"ул. Цюрупы,  9","37.572872,55.667264",,,,,,,,,,,,,,,
660000.0,1.0,15.6,5.0,8.0,0.0,"Электрозаводская ул.,  14с1","37.706766,55.787513",,,,,,,,,,,,,,,
2165285.0,1.0,29.1,6.0,6.0,0.0,"ул. Усачёва,  62","37.562874,55.724865",,,,,,,,,,,,,,,
515000.0,1.0,10.1,2.0,5.0,0.0,"Студенческая ул.,  19к1","37.549588,55.742524",,,,,,,,,,,,,,,
1700000.0,1.0,36.7,14.0,27.0,1.0,"Шелепихинская наб.,  42к2","37.500270,55.767484",,,,,,,,,,,,,,,
2360000.0,2.0,60.0,11.0,25.0,1.0,"Аминьевское ш.,  4Дк1","37.466494,55.699994",,,,,,,,,,,,,,,
1989000.0,2.0,51.5,11.0,12.0,1.0,"ул. Крутицкий Вал,  3","37.664788,55.729615",,,,,,,,,,,,,,,
2710000.0,3.0,87.6,19.0,20.0,1.0,"Дмитровское ш.,  107к2","37.541898,55.879707",,,,,,,,,,,,,,,
4480000.0,3.0,95.0,19.0,37.0,1.0,"Шелепихинская наб.,  34к1","37.513440,55.761310",,,,,,,,,,,,,,,
2873730.0,3.0,87.4,16.0,18.0,1.0,"Ленинградский пр-т,  76к2","37.515290,55.806474",,,,,,,,,,,,,,,
415100.0,1.0,11.8,1.0,9.0,0.0,"Чертановская ул.,  58к2","37.584523,55.602617",,,,,,,,,,,,,,,
5124880.0,3.0,97.3,12.0,12.0,1.0,"Климентовский пер.,  2","37.631595,55.741181",,,,,,,,,,,,,,,
1110000.0,2.0,45.4,1.0,9.0,1.0,"ул. Кухмистерова,  13","37.728173,55.685356",,,,,,,,,,,,,,,
1020000.0,1.0,33.0,1.0,5.0,1.0,"Дмитровское ш.,  21к1","37.571758,55.822407",,,,,,,,,,,,,,,
850000.0,1.0,28.1,11.0,25.0,0.0,"ул. Илимская, вл. 3/5","37.581415,55.890558",,,,,,,,,,,,,,,
1400000.0,2.0,35.3,6.0,25.0,1.0,"квартал № 100, 1к2","37.347476,55.803231",,,,,,,,,,,,,,,
1550000.0,2.0,44.4,1.0,5.0,1.0,"Шелепихинская наб.,  16","37.519404,55.755211",,,,,,,,,,,,,,,
1050000.0,1.0,35.2,6.0,12.0,1.0,"2-я Пугачёвская ул.,  9к1","37.730194,55.793991",,,,,,,,,,,,,,,
5995579.0,2.0,74.6,15.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
4184645.0,3.0,90.8,10.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
4000000.0,2.0,79.0,11.0,15.0,1.0,"Ленинградский пр-т,  36с38","37.567186,55.789472",,,,,,,,,,,,,,,
991000.0,1.0,25.0,2.0,10.0,1.0,"Подъёмная ул.,  14с37","37.707521,55.742448",,,,,,,,,,,,,,,
928000.0,2.0,42.3,2.0,5.0,1.0,"Мартеновская ул.,  16/36","37.802607,55.753007",,,,,,,,,,,,,,,
928000.0,2.0,42.3,2.0,5.0,1.0,"Мартеновская ул.,  16/36","37.802607,55.753007",,,,,,,,,,,,,,,
3350000.0,2.0,93.5,22.0,22.0,1.0,"1-я Магистральная ул.,  25","37.517976,55.770821",,,,,,,,,,,,,,,
1199000.0,1.0,28.0,4.0,6.0,0.0,"Чистопрудный б-р,  11с1","37.644189,55.762637",,,,,,,,,,,,,,,
1312500.0,2.0,37.5,4.0,9.0,1.0,"ул. Кибальчича,  10","37.651565,55.815387",,,,,,,,,,,,,,,
4000000.0,2.0,79.0,11.0,15.0,1.0,"Ленинградский пр-т,  36с38","37.567186,55.789472",,,,,,,,,,,,,,,
1000000.0,1.0,31.5,4.0,17.0,1.0,"пр-т Куприна,  18к2","37.488152,55.546755",,,,,,,,,,,,,,,
1700000.0,2.0,55.4,11.0,17.0,1.0,"ул. Вилиса Лациса,  15","37.425477,55.863121",,,,,,,,,,,,,,,
2150000.0,3.0,63.2,10.0,12.0,1.0,"ул. Жебрунова,  1","37.679700,55.785311",,,,,,,,,,,,,,,
1800000.0,3.0,77.0,2.0,16.0,1.0,"ул. Академика Анохина,  42к2","37.467536,55.657291",,,,,,,,,,,,,,,
2699000.0,3.0,68.0,15.0,40.0,1.0,"б-р Братьев Весниных,  1","37.640785,55.699000",,,,,,,,,,,,,,,
1349990.0,3.0,63.0,9.0,12.0,1.0,"3-й Дорожный пр.,  5к2","37.614716,55.602459",,,,,,,,,,,,,,,
1160000.0,1.0,35.0,12.0,12.0,1.0,"Каспийская ул.,  2/1","37.683590,55.634827",,,,,,,,,,,,,,,
2534100.0,3.0,86.1,9.0,22.0,1.0,"Малая Очаковская ул.,  6","37.438116,55.668351",,,,,,,,,,,,,,,
3400000.0,3.0,85.7,5.0,17.0,1.0,"Корабельная ул.,  17к2","37.697307,55.682762",,,,,,,,,,,,,,,
1800000.0,2.0,60.5,7.0,17.0,1.0,"ул. Чистова,  3А","37.736545,55.697823",,,,,,,,,,,,,,,
950000.0,1.0,32.0,4.0,9.0,1.0,"2-я Владимирская ул.,  21/9","37.781209,55.757784",,,,,,,,,,,,,,,
6439020.0,4.0,118.4,6.0,7.0,1.0,"Шлюзовая наб.,  2А","37.644019,55.730953",,,,,,,,,,,,,,,
1280000.0,2.0,46.8,9.0,12.0,1.0,"Симферопольский пр.,  14","37.616306,55.666640",,,,,,,,,,,,,,,
1450000.0,2.0,37.6,3.0,9.0,1.0,"ул. Трофимова, 19к1","37.675846,55.703231",,,,,,,,,,,,,,,
7500000.0,1.0,60.8,28.0,62.0,1.0,"Краснопресненская наб.,  14Ак3","37.548501,55.752060",,,,,,,,,,,,,,,
1500000.0,1.0,43.0,9.0,10.0,1.0,"б-р Андрея Тарковского,  3","37.341843,55.628937",,,,,,,,,,,,,,,
1870000.0,2.0,57.6,9.0,15.0,1.0,"ул. Милашенкова,  12Г","37.586185,55.826473",,,,,,,,,,,,,,,
2695000.0,4.0,120.0,12.0,17.0,1.0,"Боровское ш.,  20","37.369485,55.648910",,,,,,,,,,,,,,,
2819300.0,1.0,48.8,8.0,11.0,1.0,"Кутузовский пр-т,  12","37.557268,55.748888",,,,,,,,,,,,,,,
650000.0,1.0,19.3,1.0,4.0,0.0,"ул. Земляной Вал,  65","37.656658,55.747946",,,,,,,,,,,,,,,
1075000.0,2.0,38.3,4.0,12.0,1.0,"ул. Полбина,  66","37.723313,55.670991",,,,,,,,,,,,,,,
900000.0,1.0,35.4,8.0,10.0,1.0,"Южнобутовская ул., 133","37.513440,55.531285",,,,,,,,,,,,,,,
1320000.0,1.0,35.4,3.0,14.0,1.0,"ул. Берзарина,  15","37.480022,55.787133",,,,,,,,,,,,,,,
