price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
320000.0,1.0,18.0,3.0,3.0,0.0,"Варшавское ш.,  125с1","37.620510,55.627661",,,,,,,,,,,,,,,
8585000.0,3.0,101.0,16.0,19.0,1.0,"пр-т Академика Сахарова, д. 7","37.643767,55.771145",,,,,,,,,,,,,,,
713019.0,1.0,23.0,2.0,21.0,0.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
1699000.0,3.0,57.0,9.0,9.0,1.0,"Лобненская ул.,  6","37.697576,55.730193",,,,,,,,,,,,,,,
2348073.0,3.0,84.0,11.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
1884000.0,2.0,47.1,10.0,28.0,1.0,"2-й Силикатный проезд, вл. 8","37.506136,55.769119",,,,,,,,,,,,,,,
2642423.0,1.0,58.7,14.0,15.0,1.0,"пр-т Мира, д. 95","37.506136,55.769119",,,,,,,,,,,,,,,
989000.0,1.0,33.0,6.0,22.0,1.0,"ул. Лётчика Ульянина,  6","37.506136,55.769119",,,,,,,,,,,,,,,
3922170.0,3.0,98.3,14.0,40.0,1.0,"1-й Красногорский пр-д, корп. 2.3","37.506136,55.769119",,,,,,,,,,,,,,,
1050000.0,2.0,54.0,2.0,24.0,1.0,"рп. Новоивановское, б-р Эйнштейна,  3","37.506136,55.769119",,,,,,,,,,,,,,,
3939581.0,3.0,81.2,7.0,28.0,1.0,"ул. Дубининская, вл. 59-69, стр. 9","37.506136,55.769119",,,,,,,,,,,,,,,
3080844.0,1.0,52.2,5.0,12.0,1.0,"корп. В14, д. 5",an,,,,,,,,,,,,,,,
490000.0,1.0,25.9,8.0,14.0,0.0,"Балтийская ул.,  15","37.514688,55.811133",,,,,,,,,,,,,,,
4184645.0,3.0,90.8,10.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
1700000.0,2.0,40.0,6.0,9.0,1.0,"Мичуринский пр-т,  24","37.502804,55.700689",,,,,,,,,,,,,,,
3010536.0,2.0,77.7,2.0,14.0,1.0,"ул. Автозаводская, вл. 23/75","37.632763,55.697894",,,,,,,,,,,,,,,
1449950.0,1.0,31.6,2.0,44.0,1.0,"ул. Ивана Франко, корп. 4.1","37.453118,55.728018",,,,,,,,,,,,,,,
1850000.0,2.0,48.9,7.0,12.0,1.0,"Духовской пер.,  22А","37.614365,55.706046",,,,,,,,,,,,,,,
980000.0,1.0,41.4,14.0,25.0,1.0,"ул. Авиаконструктора Петлякова,  25","37.314840,55.624495",,,,,,,,,,,,,,,
6809264.0,3.0,88.0,16.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
1900000.0,2.0,56.0,3.0,17.0,1.0,"Хорошёвское ш.,  46","37.536041,55.776072",,,,,,,,,,,,,,,
5561205.0,4.0,114.0,20.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
2969600.0,2.0,80.0,2.0,9.0,1.0,"корп. В14, д. 2",an,,,,,,,,,,,,,,,
1730000.0,2.0,60.8,16.0,45.0,1.0,"Михневская ул.,  8","37.671094,55.579694",,,,,,,,,,,,,,,
4001213.0,1.0,50.7,13.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.545303,55.751974",,,,,,,,,,,,,,,
1699000.0,3.0,71.5,1.0,17.0,1.0,"Кунцевская ул.,  4к1","37.418640,55.731531",,,,,,,,,,,,,,,
